Property type,Locality,Subtype,Construction year,Price,Type sale,Bedrooms,Living area,Equipped kitchen,Furnished,Bathrooms,Open fire,EPC score,Terrace,Terrace Area,Garden,Garden Area,Land surface,Facades,Swimming pool,Building state,URL
APARTMENT,9400,APARTMENT,2006,299000,New classified,3,153,1,0,2,0,A,1,6,0,None,0,2,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/ninove/9400/20347936
APARTMENT,1060,APARTMENT,1967,245000,New classified,2,76,1,0,1,0,E,1,4,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/saint-gilles/1060/20343897
APARTMENT,2610,APARTMENT,1965,299000,New classified,2,105,1,0,1,0,B,1,13,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/20349318
APARTMENT,2600,APARTMENT,1975,389000,New classified,2,125,1,0,1,0,B,1,19,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20348278
APARTMENT,8370,FLAT_STUDIO,1976,149000,New classified,0,41,1,0,0,0,B,0,None,0,None,0,None,0,TO_BE_DONE_UP,https://www.immoweb.be/en/classified/flat-studio/for-sale/blankenberge/8370/20363429
APARTMENT,2270,APARTMENT,1987,459000,New classified,5,230,1,0,2,0,C,1,None,0,None,0,3,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/herenthout/2270/20359185
APARTMENT,8620,PENTHOUSE,1989,545000,New classified,2,80,1,1,1,0,E,1,None,0,None,0,None,0,TO_BE_DONE_UP,https://www.immoweb.be/en/classified/penthouse/for-sale/nieuwpoort/8620/20363432
APARTMENT,1000,DUPLEX,1980,650000,New classified,3,152,1,0,2,0,C,1,30,1,70,0,2,0,GOOD,https://www.immoweb.be/en/classified/duplex/for-sale/bruxelles/1000/20365512
HOUSE,9690,HOUSE,1972,195000,New classified,3,119,1,0,1,0,E,0,None,1,262,354,3,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/kluisbergen/9690/20354783
HOUSE,4000,HOUSE,1918,299000,New classified,4,113,1,0,1,0,E,1,20,0,None,75,2,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/liege/4000/20365819
HOUSE,1830,HOUSE,None,479000,New classified,5,202,1,0,1,0,F,1,30,1,200,459,None,0,TO_BE_DONE_UP,https://www.immoweb.be/en/classified/house/for-sale/machelen-1830/1830/20363849
HOUSE,8792,VILLA,1992,485000,New classified,3,185,1,0,0,0,E,1,None,0,None,1380,4,0,GOOD,https://www.immoweb.be/en/classified/villa/for-sale/waregem/8792/20365312
HOUSE,1970,VILLA,1964,699000,New classified,4,195,1,0,3,0,F,1,10,1,250,682,4,0,TO_RENOVATE,https://www.immoweb.be/en/classified/villa/for-sale/wezembeek-oppem/1970/20363448
APARTMENT,2100,APARTMENT,1974,139000,New classified,1,69,1,0,1,0,D,0,None,0,None,0,3,0,TO_BE_DONE_UP,https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20357360
APARTMENT,2100,APARTMENT,1973,179000,New classified,2,85,1,0,1,0,C,1,None,0,None,0,3,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2100/20358072
APARTMENT,2170,APARTMENT,1974,179000,New classified,2,83,1,0,1,0,A,1,None,0,None,0,3,0,TO_BE_DONE_UP,https://www.immoweb.be/en/classified/apartment/for-sale/merksem/2170/20357581
